창,창세기,gen,Gen,Genesis
출,출애굽기,exo,Exo,Exodus
레,레위기,lev,Lev,Leviticus
민,민수기,num,Num,Numbers
신,신명기,deu,Deu,Deuteronomy
수,여호수아,jos,Jos,Joshua
삿,사사기,jdg,Jdg,Judges
룻,룻기,rut,Rut,Ruth
삼상,사무엘상,1sa,1Sa,1 Samuel
삼하,사무엘하,2sa,2Sa,2 Samuel
왕상,열왕기상,1ki,1Ki,1 Kings
왕하,열왕기하,2ki,2Ki,2 Kings
대상,역대상,1ch,1Ch,1 Chronicles
대하,역대하,2ch,2Ch,2 Chronicles
스,에스라,ezr,Ezr,Ezra
느,느헤미야,neh,Neh,Nehemiah
에,에스더,est,Est,Esther
욥,욥기,job,Job,Job
시,시편,psa,Psa,Psalms
잠,잠언,pro,Pro,Proverbs
전,전도서,ecc,Ecc,Ecclesiastes
아,아가,sng,Sol,Song of Solomon
사,이사야,isa,Isa,Isaiah
렘,예레미야,jer,Jer,Jeremiah
애,예레미야애가,lam,Lam,Lamentations
겔,에스겔,ezk,Eze,Ezekiel
단,다니엘,dan,Dan,Daniel
호,호세아,hos,Hos,Hosea
욜,요엘,jol,Joe,Joel
암,아모스,amo,Amo,Amos
옵,오바댜,oba,Oba,Obadiah
욘,요나,jnh,Jon,Jonah
미,미가,mic,Mic,Micah
나,나훔,nam,Nah,Nahum
합,하박국,hab,Hab,Habakkuk
습,스바냐,zep,Zep,Zephaniah
학,학개,hag,Hag,Haggai
슥,스가랴,zec,Zec,Zechariah
말,말라기,mal,Mal,Malachi
마,마태복음,mat,Mat,Matthew
막,마가복음,mrk,Mar,Mark
눅,누가복음,luk,Luk,Luke
요,요한복음,jhn,Joh,John
행,사도행전,act,Act,The Acts
롬,로마서,rom,Rom,Romans
고전,고린도전서,1co,1Co,1 Corinthians
고후,고린도후서,2co,2Co,2 Corinthians
갈,갈라디아서,gal,Gal,Galatians
엡,에베소서,eph,Eph,Ephesians
빌,빌립보서,php,Phi,Philippians
골,골로새서,col,Col,Colossians
살전,데살로니가전서,1th,1Th,1 Thessalonian
살후,데살로니가후서,2th,2Th,2 Thessalonian
딤전,디모데전서,1ti,1Ti,1 Timothy
딤후,디모데후서,2ti,2Ti,2 Timothy
딛,디도서,tit,Tit,Titus
몬,빌레몬서,phm,Phm,Philemon
히,히브리서,heb,Heb,Hebrews
약,야고보서,jas,Jam,James
벧전,베드로전서,1pe,1Pe,1 Peter
벧후,베드로후서,2pe,2Pe,2 Peter
요일,요한일서,1jn,1Jo,1 John
요이,요한이서,2jn,2Jo,2 John
요삼,요한삼서,3jn,3Jo,3 John
유,유다서,jud,Jud,Jude
계,요한계시록,rev,Rev,Revelation
